Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Petrolisthes,cinctipes,Flat Porcelain Crab,,,,,,Petrolisthes cinctipes,Petrolisthes cinctipes,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Paraxanthias,taylori,Lumpy pebble crab,Bonnie Becker,,,,,Paraxanthias taylori,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pentidotea,resecata,,,,,,,Pentidotea resecata,Pentidotea resecata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cirolana,harfordi,,,,,,,Cirolana harfordi,Cirolana harfordi,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Idotea,urotoma,Flat-tailed Isopod,Bonnie Becker,,,,,Idotea urotoma,Idotea urotoma,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ligia,occidentalis,Rock louse,Bonnie Becker,,,,,Ligia occidentalis,Ligia occidentalis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Caprella,californica,,Todd Haney (LACNHM),,,,,Caprella californica,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Caprella,incisa,,Todd Haney (LACNHM),,,,,Caprella incisa,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Gammaridean,sp a,,Todd Haney (LACNHM),,,,,Gammaridean sp a,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Gammaridean,sp b,,Todd Haney (LACNHM),,,,,Gammaridean sp b,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Gammaridean,sp c,,Todd Haney (LACNHM),,,,,Gammaridean sp c,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Orchestoidea,sp,,Todd Haney (LACNHM),,,,,Orchestoidea sp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Alpheus,sp,,Todd Haney (LACNHM),,,,,Alpheus sp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cancer,branneri,,Todd Haney (LACNHM),,,,,Cancer branneri,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crangon,alba,,Todd Haney (LACNHM),,,,,Crangon alba,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crangon,nigricauda,,Todd Haney (LACNHM),,,,,Crangon nigricauda,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cycloxanthops,novemdentatus,,Todd Haney (LACNHM),,,,,Cycloxanthops novemdentatus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Heptacarpus,taylori,,Todd Haney (LACNHM),,,,,Heptacarpus taylori,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lebbeus,lagunae,,Todd Haney (LACNHM),,,,,Lebbeus lagunae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lophopanopeus,bellus,,Todd Haney (LACNHM),,,,,Lophopanopeus bellus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pilumnus,spinohirsutus,,Todd Haney (LACNHM),,,,,Pilumnus spinohirsutus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pugettia,dalli,,Todd Haney (LACNHM),,,,,Pugettia dalli,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pugettia,producta,,Todd Haney (LACNHM),,,,,Pugettia producta,Pugettia producta,Pugettia producta,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Idotea,aculeata,,Todd Haney (LACNHM),,,,,Idotea aculeata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Idotea,kirchanskii,,Todd Haney (LACNHM),,,,,Idotea kirchanskii,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Paranthura,elegans,,Todd Haney (LACNHM),,,,,Paranthura elegans,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unidentified tanaid,sp,,Todd Haney (LACNHM),,,,,Unidentified tanaid sp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unidentified copepod,sp,,Todd Haney (LACNHM),,,,,Unidentified copepod sp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unidentified ostracod,sp,,Todd Haney (LACNHM),,,,,Unidentified ostracod sp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Astrometis,sertulifera,Soft seastar,Bonnie Becker,,,,,Astrometis sertulifera,Astrometis sertulifera,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pisaster,giganteus,"Knobby seastar, blue seastar",Bonnie Becker,,,,,Pisaster giganteus,Pisaster giganteus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Asterina,miniata,Bat star,Bonnie Becker,,,,,Asterina miniata,Asterina miniata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Strongylocentrotus,franciscanus,Red sea urchin,Bonnie Becker,,,,,Strongylocentrotus franciscanus,Strongylocentrotus franciscanus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Strongylocentrotus,purpuratus,Purple sea urchin,Bonnie Becker,,,,,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lytechinus,anamesus,,,,,,,Lytechinus anamesus,Lytechinus anamesus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Parastichopus,parvimensis,Warty sea cucumber,Bonnie Becker,,,,,Parastichopus parvimensis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Amphipholis,pugetana,,,,,,,Amphipholis pugetana,Amphipholis pugetana,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophioderma,panamense,Panamanian serpent star,Bonnie Becker,,,,,Ophioderma panamense,Ophioderma panamense,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophionereis,annulata,Banded brittle star,Bonnie Becker,,,,,Ophionereis annulata,Ophionereis annulata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophiothrix,rudis,,,,,,,Ophiothrix rudis,Ophiothrix rudis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophiothrix,spiculata,Spiny brittle star,Bonnie Becker,,,,,Ophiothrix spiculata,Ophiothrix spiculata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophioplocus,esmarki,Esmark's Serpent Star,,,,,,Ophioplocus esmarki,Ophioplocus esmarki,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ophiopteris,papillosa,Flat-Spined Brittle Star,,,,,,Ophiopteris papillosa,Ophiopteris papillosa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Octopus,bimaculoides,Two-spotted octopus,Bonnie Becker,,,,,Octopus bimaculoides,Octopus bimaculoides,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Caecum,californicum,,,,,,,Caecum californicum,Caecum californicum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Caecum,crebricinctum,,,,,,,Caecum crebricinctum,Caecum crebricinctum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cerithiopsis,cosmia,,,,,,,Cerithiopsis cosmia,Cerithiopsis cosmia,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Fartulum,orcutti,,,,,,,Fartulum orcutti,Fartulum orcutti,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Hipponix,antiquatus,,,,,,,Hipponix antiquatus,Hipponix antiquatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Hyalina,taeniolata,,,,,,,Hyalina taeniolata,Hyalina taeniolata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Nassarina,penicillata,,,,,,,Nassarina penicillata,Nassarina penicillata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Notoacmea,fenestrata,,,,,,,Notoacmea fenestrata,Notoacmea fenestrata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Odostomia,nota,,,,,,,Odostomia nota,Odostomia nota,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pedipes,unisulcatus,,,,,,,Pedipes unisulcatus,Pedipes unisulcatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Seila,monteryensis,,,,,,,Seila monteryensis,Seila monteryensis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Teinostoma,supravallatum,,,,,,,Teinostoma supravallatum,Teinostoma supravallatum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tricolia,pulloides,,,,,,,Tricolia pulloides,Tricolia pulloides,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tricolia,rubrilineata,,,,,,,Tricolia rubrilineata,Tricolia rubrilineata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Triphora,pedroana,,,,,,,Triphora pedroana,Triphora pedroana,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Turbonilla,jewetti,,,,,,,Turbonilla jewetti,Turbonilla jewetti,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Turbonilla,kelseyi,,,,,,,Turbonilla kelseyi,Turbonilla kelseyi,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Turbonilla,tenuicula,,,,,,,Turbonilla tenuicula,Turbonilla tenuicula,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aplysia,californica,California Brown Sea Hare,Jeff Goddard,,,,,Aplysia californica,Aplysia californica,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aplysia,vaccaria,California Black Sea Hare,Jeff Goddard,,,,,Aplysia vaccaria,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Acmaea,rosacea,,,,,,,Acmaea rosacea,Acmaea rosacea,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Norrisia,norrisi,Norris' top snail,Bonnie Becker,,,,,Norrisia norrisi,Norrisia norrisi,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tegula,aureotincta,,Bonnie Becker,,X,,,Tegula aureotincta,Tegula aureotincta,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tegula,eiseni,Banded tegula,Bonnie Becker,,X,,,Tegula eiseni,Tegula eiseni,Tegula eiseni,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tegula,funebralis,"Black turban snail, Black Tegula",SWAT 2002,,X,,,Tegula funebralis,Tegula funebralis,Tegula funebralis,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Homalopoma,luridum,,,,,,,Homalopoma luridum,Homalopoma luridum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lithopoma,gibberosum,,SWAT 2002,,X,,,Lithopoma gibberosum,NA,Lithopoma gibberosum,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lithopoma,undosa,Wavy Turban Snail,Bonnie Becker,,,,,Lithopoma undosa,Lithopoma undosa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Trimusculus,reticulatus,Reticulate Button Snail,,,,,,Trimusculus reticulatus,Trimusculus reticulatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Navanax,inermis,,Bonnie Becker,,,,,Navanax inermis,Navanax inermis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Haminoea,virescens,,,,,,,Haminoea virescens,Haminoea virescens,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepidula,aculeata,Spiny Slipper Snail,,,,,,Crepidula aculeata,Crepidula aculeata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepidula,adunca,Hooked Slipper Snail,,,,,,Crepidula adunca,Crepidula adunca,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepidula,norrisiarum,,,,,,,Crepidula norrisiarum,Crepidula norrisiarum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepidula,onyx,Onyx Slipper Snail,,,,,,Crepidula onyx,Crepidula onyx,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepidula,perforans,Western White Slipper Snail,,,,,,Crepidula perforans,Crepidula perforans,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Crepipatella,lingulata,Half-Slipper Snail,,,,,,Crepipatella lingulata,Crepipatella lingulata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cypraea,spadicea,Chestnut cowrie,Bonnie Becker,,,,,Cypraea spadicea,Cypraea spadicea,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Epitonium,tinctum,Tinted Wentletrap,,,,,,Epitonium tinctum,Epitonium tinctum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Opalia,funiculata,Sculptured Wentletrap,,,,,,Opalia funiculata,Opalia funiculata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Janthina,janthina,,Paul Dayton,,,X,,Janthina janthina,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Lacuna,unifasciata,,,,,,,Lacuna unifasciata,Lacuna unifasciata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Littorina,keenae,Gray Periwinkle,Bonnie Becker,,X,,,Littorina keenae,Littorina keenae,Littorina spp.,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Littorina,scutulata,Checkered periwinkle,Bonnie Becker,,X,,,Littorina scutulata,Littorina scutulata,Littorina spp.,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Erato,vitellina,Apple-Seed Erato,,,,,,Erato vitellina,Erato vitellina,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Trivia,californiana,,,,,,,Trivia californiana,Trivia californiana,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Trivia,solandri,Solander's Trivia,Bonnie Becker,,,,,Trivia solandri,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Serpulorbis,squamigerus,Scaly tube snail,Bonnie Becker,,X,,,Serpulorbis squamigerus,Serpulorbis squamigerus,Serpulorbis squamigerus,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Vitrinella,oldroydi,,,,,,,Vitrinella oldroydi,Vitrinella oldroydi,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Kelletia,kelleti,Kellet's whelk,Bonnie Becker,,X,,,Kelletia kelleti,Kelletia kelleti,Kelletia kelletii,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Macron,lividus,Livid macron,Bonnie Becker,,X,,,Macron lividus,Macron lividus,Macron lividus,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Amphissa,versicolor,,SWAT 2002,,X,,,Amphissa versicolor,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Mitrella,carinata,Carinated Dove Snail,,,,,,Mitrella carinata,Mitrella carinata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Conus,californicus,California Cone,,,,,,Conus californicus,Conus californicus,Californiconus californicus,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Mitra,idae,Ida's Miter,,,,,,Mitra idae,Mitra idae,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ceratostoma,nuttalli,Nuttall's Hornmouth,,,,,,Ceratostoma nuttalli,Ceratostoma nuttalli,Ceratostoma nuttalli,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Ocenebra,circumtexta,Circled Rock Snail,SWAT 2002,,X,,,Ocenebra circumtexta,Ocenebra circumtexta,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Roperia,poulsoni,Poulson's Rock Snail,Bonnie Becker,,,,,Roperia poulsoni,Roperia poulsoni,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Olivella,biplicata,"Purple Olive, Purple Olivella",,,,,,Olivella biplicata,Olivella biplicata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Acanthina,spirata,Angular unicorn,SWAT 2002,,X,,,Acanthina spirata,Acanthina spirata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Pseudomelatoma,penicillata,,,,,,,Pseudomelatoma penicillata,Pseudomelatoma penicillata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aeolidiella,chromosoma,,Jeff Goddard,,,,,Aeolidiella chromosoma,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aeolidiella,oliviae,Olive's aeolid,Jeff Goddard,,,,,Aeolidiella oliviae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cadlina,flavomaculata,Yellow-spotted cadlina,,,,,,Cadlina flavomaculata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Cadlina,sparsa,,Jeff Goddard,,,,,Cadlina sparsa,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Mexichromis,porterae,Porter's chromodorid,Jim Lance,,,,,Mexichromis porterae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Conualevia,alba,White dorid,Jeff Goddard,,,,,Conualevia alba,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Doriopsilla,albopunctata,,Jim Lance,,,,,Doriopsilla albopunctata,Doriopsilla albopunctata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Doriopsilla,spp,Yellowgill porostome,Jim Lance,,,,,Doriopsilla spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Dirona,picta,,Don Cadien,,,,,Dirona picta,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Diaulula,sandiegensis,San Diego dorid,Jeff Goddard,,,,,Diaulula sandiegensis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Thordisa,bimaculata,,Ron Velarde,,,,,Thordisa bimaculata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Doto,kya,Seal doto,Jeff Goddard,,,,,Doto kya,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Eubranchus,rustyus,,Jeff Goddard,,,,,Eubranchus rustyus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Facelina,stearnsi,,Ron Velarde,,,,,Facelina stearnsi,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Hermissenda,crassicornis,Hermissenda,Don Cadien,,,,,Hermissenda crassicornis,Hermissenda crassicornis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Phidiana,hiltoni,Hilton's aeolid,Jeff Goddard,,,,,Phidiana hiltoni,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Flabellina,iodinea,,,,,,,Flabellina iodinea,Flabellina iodinea,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Flabellina,trilineata,Three lined aeolid,Jeff Goddard,,,,,Flabellina trilineata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Hopkinsia,rosacea,Hopkin's Rose,Don Cadien,,,,,Hopkinsia rosacea,Hopkinsia rosacea,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aegires,albopunctatus,,Don Cadien,,,,,Aegires albopunctatus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Laila,cockerelli,,Don Cadien,,,,,Laila cockerelli,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Triopha,catalinae,Catalina triopha,Jeff Goddard,,,,,Triopha catalinae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Triopha,maculata,,Ron Velarde,,,,,Triopha maculata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Rostanga,pulchra,,Jeff Goddard,,,,,Rostanga pulchra,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Tritonia,myrakeenae,Myra's tritonia,Jeff Goddard,,,,,Tritonia myrakeenae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Elysia,hedgpethi,Hedgpeth's sea hare,Jeff Goddard,,,,,Elysia hedgpethi,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Aplysiopsis,enteromorphae,,Jeff Goddard,,,,,Aplysiopsis enteromorphae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unidentified nemertea,spp,,,,,,,Unidentified nemertea spp,Unidentified nemertea spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Unid platyhelminthes,spp,,,,,,,Unid platyhelminthes spp,Unid platyhelminthes spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Prostheceraeus,bellostriatus,Polyclad worm,Don Cadien,,,,,Prostheceraeus bellostriatus,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Autolytus,spp,,Leslie Harris,,,,,Autolytus spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Exogone,lourei,,Leslie Harris,,,,,Exogone lourei,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,mobile,mobile invertebrates
Eupomatis,gracilis,,,,,,,Eupomatis gracilis,Eupomatis gracilis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
