Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Gelidium,coulteri,,SWAT 2002,,X,,,Gelidium coulteri,Gelidium coulteri,Gelidium spp,GELSPP,Gelidium species,OTHPLA,Algae/plants,GELSPP,Gelidium species,,sessile,algae
Gelidium,nudifrons,,,,,,,Gelidium nudifrons,Gelidium nudifrons,Gelidium spp,GELSPP,Gelidium species,OTHPLA,Algae/plants,GELSPP,Gelidium species,,sessile,algae
Gelidium,pusillum,,SWAT 2002,,X,X,,Gelidium pusillum,Gelidium pusillum,Gelidium spp,GELSPP,Gelidium species,OTHPLA,Algae/plants,GELSPP,Gelidium species,,sessile,algae
Gelidium,robustum,,SWAT 2002,,X,,,Gelidium robustum,Gelidium robustum,Gelidium robustum,GELSPP,Gelidium species,OTHPLA,Algae/plants,GELSPP,Gelidium species,,sessile,algae
,,,,,,,,NA,NA,Gelidium purpurascens,GELSPP,Gelidium species,OTHPLA,Algae/plants,GELSPP,Gelidium species,,sessile,algae
Pelvetiopsis,californica,,not seen?,,,,added-CB,Pelvetiopsis californica,NA,Pelvetiopsis californica,HESCAL,Hesperophycus californica,OTHPLA,Algae/plants,HESCAL,Hesperophycus californica,,sessile,algae
Lottia,conus,,,,,,,Lottia conus,Lottia conus,Lottia scabra/conus,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,strigatella,,,,,,,Lottia strigatella,Lottia strigatella,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,asmi,Black limpet,,,,,,Lottia asmi,Lottia asmi,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,digitalis,"Ribbed limpet, fingered limpet",Bonnie Becker,,X,,,Lottia digitalis,Lottia digitalis,Lottia austrodigitalis/digitalis,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,limatula,File Limpet,SWAT 2002,,X,,,Lottia limatula,Lottia limatula,Lottia limatula,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,paradigitalis,,SWAT 2002,,X,,,Lottia paradigitalis,NA,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,pelta,Shield limpet,SWAT 2002,,X,,,Lottia pelta,Lottia pelta,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Macklintockia,scabra,Rough limpet,Bonnie Becker,,X,,,Macklintockia scabra,Macklintockia scabra,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Notoacmea,insessa,Seaweed Limpet,,,,,,Notoacmea insessa,Notoacmea insessa,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Tectura,paleacea,Surfgrass Limpet,Bonnie Becker,,,X,,Tectura paleacea,Tectura paleacea,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Diodora,aspera,Rough Keyhole Limpet,,,,,,Diodora aspera,Diodora aspera,NA,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Fisurella,volcano,Volcano Limpet,Bonnie Becker,,X,,,Fisurella volcano,Fisurella volcano,Fissurella volcano,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Megathura,crenulata,Giant keyhole limpet,Bonnie Becker,,,,,Megathura crenulata,Megathura crenulata,Megathura crenulata,LIMPET,Limpet,OTHANI,Animals,LIMPET,Limpet,,sessile,sessile invertebrates
Lottia,gigantea,Owl limpet,Bonnie Becker,,X,,,Lottia gigantea,Lottia gigantea,Lottia gigantea,LOTGIG,Lottia gigantea,OTHANI,Animals,LOTGIG,Lottia gigantea,,sessile,sessile invertebrates
Mastocarpus,papillatus,,not seen?,,,,added-CB,Mastocarpus papillatus,NA,Mastocarpus spp,MASPAP,Mastocarpus papillatus,OTHPLA,Algae/plants,MASPAP,Mastocarpus papillatus,,sessile,algae
Mazzaella,affinus,,SWAT 2002,,X,,,Mazzaella affinus,Mazzaella affinus,Mazzaella affinis,MAZAFF,Mazzaella affinis,OTHPLA,Algae/plants,MAZSPP,Mazzaella spp,,sessile,algae
